CustomerID,Lookalikes
C0001,"[('C0027', 0.6817471314173918), ('C0140', 0.6126277871682425), ('C0167', 0.5837743834362649)]"
C0002,"[('C0030', 0.823333888101099), ('C0077', 0.7855791212695418), ('C0032', 0.7370080302752761)]"
C0003,"[('C0071', 0.7034543949937387), ('C0052', 0.6517776831051162), ('C0014', 0.6140572166781623)]"
C0004,"[('C0075', 0.9033152979346707), ('C0175', 0.8703274734298049), ('C0068', 0.8415654951851727)]"
C0005,"[('C0063', 0.7790602010892934), ('C0131', 0.7168423120623817), ('C0015', 0.7141416759796206)]"
C0006,"[('C0168', 0.871427437788522), ('C0185', 0.8037079729540462), ('C0040', 0.7819660613389574)]"
C0007,"[('C0120', 0.7180081429808061), ('C0050', 0.714891770646887), ('C0066', 0.6613659012800971)]"
C0008,"[('C0109', 0.8203308341299844), ('C0194', 0.7639247938197817), ('C0113', 0.7633893071179831)]"
C0009,"[('C0083', 0.7787828120410007), ('C0077', 0.6484461347494075), ('C0029', 0.6433612988554984)]"
C0010,"[('C0032', 0.8152718435269113), ('C0083', 0.812745351692418), ('C0111', 0.7956771335015992)]"
C0011,"[('C0126', 0.6265633092547805), ('C0133', 0.5452957546769983), ('C0056', 0.5442875784333296)]"
C0012,"[('C0065', 0.7958209206664552), ('C0104', 0.7619926545076688), ('C0145', 0.751408206782524)]"
C0013,"[('C0145', 0.8295974249559348), ('C0099', 0.8206704438488512), ('C0141', 0.8035227570756764)]"
C0014,"[('C0110', 0.846426244213365), ('C0097', 0.8286246500723855), ('C0073', 0.8223587817311925)]"
C0015,"[('C0131', 0.8692329347546716), ('C0095', 0.8412842177480276), ('C0063', 0.8266447241095991)]"
C0016,"[('C0023', 0.714863405959577), ('C0013', 0.5496041991763789), ('C0187', 0.5177362826044453)]"
C0017,"[('C0075', 0.8698678423739942), ('C0004', 0.8404822815915903), ('C0156', 0.8159612317849692)]"
C0018,"[('C0182', 0.7167978570822024), ('C0087', 0.5934804731270581), ('C0114', 0.5893705927341573)]"
C0019,"[('C0116', 0.7398086976910984), ('C0043', 0.64324857611439), ('C0147', 0.6369480336956127)]"
C0020,"[('C0110', 0.8919008059243301), ('C0130', 0.890131659684532), ('C0080', 0.8238896361600774)]"
